NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Name
3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Gran Turismo 4
6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Super Mario Galaxy
6.16,2.04,2.69,0.29,11.18,71.0,21.0,7.5,24.0,Super Mario Land 2: 6 Golden Coins
6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Grand Theft Auto IV
4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Gran Turismo
4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Super Mario 3D Land
2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Gran Turismo 5
4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Call of Duty: Modern Warfare 2
5.99,2.15,2.12,0.29,10.55,71.0,21.0,7.5,24.0,Super Mario All-Stars
4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Grand Theft Auto IV
4.34,2.65,3.15,0.35,10.49,71.0,21.0,7.5,24.0,Pokemon FireRed/Pokemon LeafGreen
5.01,3.07,1.25,0.97,10.3,71.0,21.0,7.5,24.0,Super Mario 64
6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Call of Duty: Ghosts
5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Just Dance 3
3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,New Super Mario Bros. 2
5.55,1.94,2.23,0.15,9.87,71.0,21.0,7.5,24.0,Mario Kart 64
7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Halo: Reach
3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,Final Fantasy VII
6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,Halo 4
3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Gran Turismo 2
5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Just Dance 2
4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Call of Duty: Ghosts
5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Call of Duty 4: Modern Warfare
4.36,1.71,3.0,0.23,9.3,71.0,21.0,7.5,24.0,Donkey Kong Country
5.7,2.65,0.02,0.81,9.18,71.0,21.0,7.5,24.0,Minecraft
2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Animal Crossing: New Leaf
4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Mario Party DS
5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,The Elder Scrolls V: Skyrim
3.54,1.24,3.81,0.18,8.76,71.0,21.0,7.5,24.0,Super Mario Kart
1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,FIFA 16
6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Halo 2
1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Wii Party
3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Mario Party 8
1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,FIFA Soccer 13
5.8,2.01,0.13,0.15,8.09,71.0,21.0,7.5,24.0,GoldenEye 007
2.79,1.72,3.14,0.41,8.07,71.0,21.0,7.5,24.0,Pokemon Black 2/Pokemon White 2
2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,Final Fantasy X
0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims 3
2.57,3.86,0.66,0.91,7.99,71.0,21.0,7.5,24.0,Mario & Sonic at the Olympic Games
2.99,3.49,0.22,1.28,7.98,71.0,21.0,7.5,24.0,Star Wars Battlefront (2015)
2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,Final Fantasy VIII
7.28,0.45,0.0,0.08,7.81,71.0,21.0,7.5,24.0,Pac-Man
2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Pokémon Platinum Version
2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Grand Theft Auto: Liberty City Stories
2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Call of Duty: Advanced Warfare
4.1,1.89,1.45,0.16,7.6,71.0,21.0,7.5,24.0,The Legend of Zelda: Ocarina of Time
0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,FIFA 17
3.78,2.17,1.31,0.31,7.58,71.0,21.0,7.5,24.0,Crash Bandicoot 2: Cortex Strikes Back
3.27,1.37,2.43,0.48,7.55,71.0,21.0,7.5,24.0,Super Smash Bros. for Wii U and 3DS
3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Super Mario Galaxy 2
5.39,1.18,0.7,0.19,7.46,71.0,21.0,7.5,24.0,Super Mario Bros. 2
4.59,2.11,0.01,0.68,7.39,71.0,21.0,7.5,24.0,Call of Duty: Black Ops 3
4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Call of Duty: World at War
4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,Battlefield 3
3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,Need for Speed Underground
3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Just Dance
2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,Battlefield 3
2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Fallout 4
3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Tekken 3
3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,The Legend of Zelda: Twilight Princess
2.98,1.45,2.26,0.45,7.14,71.0,21.0,7.5,24.0,Pokemon Sun/Moon
3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Crash Bandicoot 3: Warped
3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Mario Kart 8
4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,Super Smash Bros. Melee
4.12,1.77,0.87,0.19,6.95,71.0,21.0,7.5,24.0,Mario Kart: Double Dash!!
2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,Need for Speed Underground 2
2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,Medal of Honor: Frontline
3.23,2.35,0.94,0.3,6.82,71.0,21.0,7.5,24.0,Crash Bandicoot
4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Just Dance 4
4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Gears of War 2
2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Uncharted 3: Drake's Deception
3.45,2.59,0.0,0.66,6.71,71.0,21.0,7.5,24.0,Zumba Fitness
3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Call of Duty 4: Modern Warfare
3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Uncharted 2: Among Thieves
0.84,4.3,0.11,1.39,6.65,71.0,21.0,7.5,24.0,FIFA 12
1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Big Brain Academy
3.74,0.93,1.69,0.14,6.51,71.0,21.0,7.5,24.0,The Legend of Zelda
2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Red Dead Redemption
0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,FIFA 14
2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Assassin's Creed III
3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Donkey Kong Country Returns
4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Halo: Combat Evolved
2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,The Elder Scrolls V: Skyrim
2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Pokémon Emerald Version
3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,Kingdom Hearts
2.55,1.56,1.29,0.99,6.39,71.0,21.0,7.5,24.0,Pokémon Crystal Version
4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,Halo 3: ODST
3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Red Dead Redemption
4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Super Mario Sunshine
2.47,0.83,2.87,0.12,6.3,71.0,21.0,7.5,24.0,Street Fighter II: The World Warrior
0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,World of Warcraft
3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Driver
4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Gears of War 3
3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Kinect Sports
3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Gears of War
0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,FIFA 15
2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,Metal Gear Solid 2: Sons of Liberty
4.47,1.2,0.16,0.19,6.03,71.0,21.0,7.5,24.0,Sonic the Hedgehog 2
3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,Metal Gear Solid
2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Metal Gear Solid 4: Guns of the Patriots
1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Final Fantasy XII
2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,The Last of Us
2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,LittleBigPlanet
1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Resident Evil 2
0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Dragon Quest IX: Sentinels of the Starry Skies
2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Tekken 2
2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,Destiny
3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,LEGO Star Wars: The Complete Saga
3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Cooking Mama
2.97,0.69,1.81,0.11,5.58,71.0,21.0,7.5,24.0,Tetris
2.95,0.6,1.97,0.04,5.55,71.0,21.0,7.5,24.0,Super Smash Bros.
2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Assassin's Creed II
3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Assassin's Creed
2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Forza Motorsport 3
3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Super Mario Advance
0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Monster Hunter Freedom Unite
2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Batman: Arkham City
2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Grand Theft Auto V
2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Mario Kart: Super Circuit
3.21,1.11,0.95,0.2,5.46,71.0,21.0,7.5,24.0,Super Mario World
3.18,1.24,0.94,0.09,5.45,71.0,21.0,7.5,24.0,Pokemon Stadium
2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Crash Bandicoot: The Wrath of Cortex
2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Call of Duty: World at War
1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Uncharted 4: A Thief's End
2.18,0.96,2.0,0.2,5.34,71.0,21.0,7.5,24.0,Dr. Mario
1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Final Fantasy XIII
3.02,1.12,1.01,0.16,5.31,71.0,21.0,7.5,24.0,Pokemon Pinball
1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,Final Fantasy IX
3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Assassin's Creed III
1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,Final Fantasy X-2
3.33,0.79,1.09,0.06,5.27,71.0,21.0,7.5,24.0,Donkey Kong 64
3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Call of Duty: Advanced Warfare
2.03,2.37,0.0,0.87,5.26,71.0,21.0,7.5,24.0,Minecraft
3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Assassin's Creed II
2.3,2.46,0.2,0.28,5.24,85.0,13.0,7.5,24.0,Tomb Raider II
4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,Madden NFL 2004
0.97,2.11,1.9,0.24,5.23,71.0,21.0,7.5,24.0,Tomodachi Life
2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,New Super Mario Bros. U
0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Dragon Quest VIII: Journey of the Cursed King
2.93,1.25,0.83,0.2,5.2,71.0,21.0,7.5,24.0,Super Mario Bros. 3
1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Professor Layton and the Curious Village
2.49,0.98,1.57,0.15,5.19,71.0,21.0,7.5,24.0,Super Mario Land 3: Wario Land
1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,FIFA Soccer 13
2.1,0.74,2.2,0.11,5.15,71.0,21.0,7.5,24.0,Donkey Kong Country 2: Diddy's Kong Quest
2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Diablo III
1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,Medal of Honor: Rising Sun
2.71,0.61,1.7,0.11,5.13,71.0,21.0,7.5,24.0,Kirby's Dream Land
3.22,1.69,0.0,0.2,5.12,71.0,21.0,7.5,24.0,Microsoft Flight Simulator
3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Guitar Hero II
3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Fable III
1.63,2.45,0.44,0.57,5.09,71.0,21.0,7.5,24.0,Mario & Sonic at the Olympic Games
1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,Resident Evil 5
1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,The Legend of Zelda: Phantom Hourglass
3.4,1.3,0.15,0.22,5.07,71.0,21.0,7.5,24.0,Super Mario Bros.
0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,FIFA Soccer 11
2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,Resident Evil
1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,Grand Theft Auto: Vice City Stories
3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,Tony Hawk's Pro Skater
2.79,1.89,0.0,0.33,5.01,71.0,21.0,7.5,24.0,Warzone 2100
3.36,1.36,0.07,0.21,5.0,71.0,21.0,7.5,24.0,Spyro the Dragon
3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,Guitar Hero III: Legends of Rock
3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Link's Crossbow Training
1.83,1.19,1.54,0.37,4.93,71.0,21.0,7.5,24.0,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness
3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,Fallout 3
2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,Uncharted: Drake's Fortune
3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,Madden NFL 06
2.91,0.99,0.89,0.1,4.88,71.0,21.0,7.5,24.0,Diddy Kong Racing
0.0,0.0,4.87,0.0,4.87,71.0,21.0,7.5,24.0,Monster Hunter Freedom 3
2.6,1.08,0.81,0.38,4.87,71.0,21.0,7.5,24.0,Super Smash Bros. for Wii U and 3DS
2.62,0.6,1.52,0.1,4.85,71.0,21.0,7.5,24.0,Dr. Mario
2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,StarCraft II: Wings of Liberty
1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,Assassin's Creed
2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,God of War III
2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,Crash Team Racing
2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,LEGO Star Wars: The Complete Saga
2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,Driver 2
2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Batman: Arkham City
1.88,2.0,0.07,0.77,4.71,71.0,21.0,7.5,24.0,The Last of Us
1.73,2.19,0.0,0.79,4.7,71.0,21.0,7.5,24.0,The Simpsons: Hit & Run
3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,Tony Hawk's Pro Skater 2
1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,The Lord of the Rings: The Two Towers
2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0,Tomb Raider
1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Animal Crossing: City Folk
2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,Uncharted: The Nathan Drake Collection
2.42,0.91,1.15,0.13,4.61,71.0,21.0,7.5,24.0,The Legend of Zelda: A Link to the Past
2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,The Legend of Zelda: The Wind Waker
3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,Guitar Hero III: Legends of Rock
1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Luigi's Mansion: Dark Moon
2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,Forza Motorsport 4
1.87,1.96,0.22,0.48,4.53,71.0,21.0,7.5,24.0,Mario & Sonic at the Olympic Winter Games
4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,Madden NFL 2005
3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165.0,Guitar Hero III: Legends of Rock
4.21,0.24,0.0,0.05,4.5,71.0,21.0,7.5,24.0,Pitfall!
3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,Madden NFL 07
2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,Halo 5: Guardians
2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41.0,Spider-Man: The Movie
0.2,0.14,4.1,0.02,4.47,71.0,21.0,7.5,24.0,Dragon Quest VII: Warriors of Eden
1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Call of Duty: Infinite Warfare
2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997.0,God of War
1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Splatoon
2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo Land
2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,Tony Hawk's Pro Skater 3
0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0,Winning Eleven: Pro Evolution Soccer 2007
2.82,1.03,0.13,0.4,4.38,94.0,90.0,8.7,1109.0,The Elder Scrolls IV: Oblivion
2.19,0.5,1.61,0.08,4.38,71.0,21.0,7.5,24.0,Zelda II: The Adventure of Link
2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137.0,Need for Speed: Most Wanted
2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,Michael Jackson: The Experience
1.56,1.93,0.19,0.68,4.36,71.0,21.0,4.8,207.0,Call of Duty: Advanced Warfare
1.74,1.72,0.14,0.75,4.34,86.0,70.0,8.1,715.0,Resistance: Fall of Man
3.03,0.91,0.26,0.13,4.34,71.0,21.0,7.5,24.0,Sonic the Hedgehog
2.2,0.58,1.38,0.17,4.33,87.0,64.0,9.0,766.0,Kingdom Hearts II
2.09,1.31,0.62,0.31,4.33,71.0,21.0,7.5,24.0,The Legend of Zelda: Ocarina of Time
2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607.0,Super Mario 3D World
1.48,2.02,0.14,0.68,4.32,71.0,21.0,7.5,24.0,Minecraft
4.0,0.26,0.0,0.05,4.31,71.0,21.0,7.5,24.0,Asteroids
2.77,1.11,0.0,0.4,4.29,71.0,21.0,4.9,221.0,Call of Duty: Advanced Warfare
0.58,3.02,0.04,0.64,4.28,71.0,21.0,4.5,109.0,FIFA 15
2.51,1.24,0.11,0.41,4.27,89.0,95.0,6.5,2423.0,Fable II
3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6.0,Namco Museum
2.24,1.31,0.07,0.61,4.23,91.0,70.0,8.9,1122.0,Batman: Arkham Asylum
1.46,0.0,0.83,1.93,4.23,91.0,68.0,9.3,955.0,Metal Gear Solid 3: Snake Eater
1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613.0,Assassin's Creed: Revelations
2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749.0,Fallout 4
0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435.0,FIFA 14
2.45,1.01,0.0,0.75,4.21,85.0,59.0,8.7,109.0,Daxter
1.7,2.27,0.0,0.23,4.21,71.0,21.0,7.5,24.0,Warcraft II: Tides of Darkness
0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0,FIFA Soccer 06
0.88,2.3,0.2,0.83,4.2,80.0,32.0,7.5,22.0,EyeToy Play
1.28,1.82,0.57,0.52,4.19,80.0,67.0,7.1,120.0,Gran Turismo 5 Prologue
2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564.0,Assassin's Creed: Revelations
0.84,2.78,0.02,0.53,4.18,71.0,21.0,7.5,24.0,FIFA 12
3.38,0.44,0.31,0.04,4.17,71.0,21.0,7.5,24.0,Teenage Mutant Ninja Turtles
2.03,1.04,0.58,0.52,4.16,94.0,61.0,7.3,330.0,Street Fighter IV
2.04,0.48,1.57,0.07,4.16,71.0,21.0,7.5,24.0,Excitebike
3.79,0.27,0.0,0.11,4.16,71.0,21.0,7.5,24.0,Frogger
3.36,0.21,0.01,0.56,4.14,95.0,25.0,7.7,65.0,Madden NFL 2003
4.03,0.0,0.09,0.0,4.12,96.0,24.0,9.1,3161.0,Half-Life
1.65,0.61,1.76,0.09,4.12,71.0,21.0,7.5,24.0,Super Mario World 2: Yoshi's Island
0.71,2.48,0.03,0.89,4.11,71.0,21.0,7.5,24.0,FIFA Soccer 07
